,1A_1h,1A_2h,1A_4h,1A_6h,1A_8h,1A_20h,1A_Homog,1B_1h,1B_2h,1B_4h,1B_6h,1B_8h,1B_20h,1B_Homog,1C_1h,1C_2h,1C_4h,1C_6h,1C_8h,1C_20h,1C_Homog,2A_1h,2A_2h,2A_4h,2A_6h,2A_8h,2A_20h,2A_Homog,2B_1h,2B_2h,2B_4h,2B_6h,2B_8h,2B_20h,2B_Homog,2C_1h,2C_2h,2C_4h,2C_6h,2C_8h,2C_20h,2C_Homog,3A_1h,3A_2h,3A_4h,3A_6h,3A_8h,3A_20h,3A_Homog,3B_1h,3B_2h,3B_4h,3B_6h,3B_8h,3B_20h,3B_Homog,3C_1h,3C_2h,3C_4h,3C_6h,3C_8h,3C_20h,3C_Homog,4A_1h,4A_2h,4A_4h,4A_6h,4A_8h,4A_20h,4A_Homog,4B_1h,4B_2h,4B_4h,4B_6h,4B_8h,4B_20h,4B_Homog,4C_1h,4C_2h,4C_4h,4C_6h,4C_8h,4C_20h,4C_Homog,5A_1h,5A_2h,5A_4h,5A_6h,5A_8h,5A_20h,5A_Homog,5B_1h,5B_2h,5B_4h,5B_6h,5B_8h,5B_20h,5C_1h,5C_2h,5C_4h,5C_6h,5C_8h,5C_20h,5C_Homog
3C_6h,0.39203709,0.33042716,0.32718254,0.32452642,0.35440643,0.33738986,0.50099791,0.40444925,0.33525549,0.34720032,0.33619242,0.30882215,0.30382304,0.48792093,0.33759353,0.30730832,0.3055687,0.32522944,0.33447711,0.32649581,0.50645368,0.59284565,0.56583661,0.5320205,0.50030047,0.51910148,0.50236732,0.62058975,0.60719438,0.56093565,0.53486635,0.52044171,0.5213088,0.54812485,0.59810866,0.62045086,0.61434058,0.57419038,0.55092664,0.53788093,0.54502487,0.60411311,0.30745709,0.25259201,0.23670668,0.23249836,0.20871182,0.2296872,0.46680626,0.21166427,0.18364774,0.14437581,0.1179409,0.1292027,0.19085504,0.51152289,0.2092985,0.13144034,0.09387927,0,0.04186374,0.17414174,0.48571258,0.57070271,0.54613222,0.61132318,0.52523022,0.54623795,0.54831571,0.61316907,0.54444028,0.4971237,0.4822316,0.46759901,0.44617027,0.46372256,0.55621313,0.64311269,0.58339835,0.5872655,0.53214769,0.52716749,0.55611307,0.55804003,0.48243763,0.53031118,0.56663865,0.53385313,0.58989831,0.57847983,0.63682283,0.47321326,0.48321382,0.50712571,0.46632121,0.45627109,0.47933902,0.51305355,0.5229913,0.511973,0.54823293,0.49795671,0.5298637,0.5846668
3C_8h,0.41630507,0.35177514,0.33444521,0.33378194,0.36284251,0.33347845,0.4848093,0.40933388,0.32766033,0.35344851,0.32927369,0.30208285,0.30717409,0.47192853,0.35044049,0.30993615,0.30147124,0.31839284,0.32746107,0.32434331,0.4896869,0.60008597,0.57325638,0.53926082,0.50772024,0.52652125,0.50887608,0.6243311,0.60817563,0.5678842,0.54228612,0.52786147,0.52872857,0.55850258,0.60560671,0.6296049,0.62349462,0.58143071,0.56130437,0.54825866,0.5554026,0.60860262,0.31638081,0.24117728,0.2488339,0.23408989,0.20694656,0.23012887,0.44603493,0.21888472,0.19254599,0.15819757,0.13042781,0.12267293,0.18307105,0.49075155,0.21385815,0.14584677,0.10500683,0.04186374,0,0.14920406,0.46494124,0.57068106,0.55395071,0.61130153,0.52786393,0.5462163,0.54829406,0.60708959,0.55147591,0.50324182,0.48669019,0.47442089,0.45042781,0.46201162,0.53662627,0.64309104,0.58700636,0.58724385,0.52756653,0.52714584,0.55061175,0.53969207,0.47266921,0.52849236,0.55830192,0.52308894,0.58138214,0.56828155,0.63206687,0.46386403,0.46752612,0.4905205,0.46011917,0.44148737,0.46945956,0.49632107,0.5050411,0.4933268,0.53144828,0.48441346,0.52448423,0.57991085
3C_20h,0.49591008,0.43882661,0.38472768,0.3692977,0.37397371,0.31754664,0.38077719,0.4782658,0.38028887,0.39624359,0.35239151,0.32713447,0.31925569,0.35879119,0.43993555,0.38595772,0.36370977,0.35292739,0.36016065,0.33292079,0.39435495,0.64285192,0.61305031,0.58202677,0.54332756,0.54941839,0.53518948,0.59916901,0.63929821,0.60411922,0.57633202,0.55901392,0.55126674,0.58339085,0.57480108,0.67160115,0.6688791,0.62419665,0.60855701,0.59494444,0.58066332,0.57966784,0.37919845,0.30087906,0.30043288,0.28046689,0.29302652,0.24024157,0.38597506,0.2978705,0.2570202,0.23043035,0.2301467,0.17634161,0.13703419,0.37162297,0.28938764,0.26076647,0.2091355,0.17414174,0.14920406,0,0.39722148,0.60873658,0.59791542,0.65159875,0.57182864,0.58009671,0.58496991,0.62079538,0.63423963,0.54698811,0.52647676,0.5114187,0.48907091,0.49893033,0.51905539,0.67395112,0.63097107,0.63007522,0.56936275,0.56780465,0.57401771,0.54787323,0.49404033,0.54002739,0.55024446,0.53958492,0.59659814,0.5462417,0.56403533,0.50213855,0.50327474,0.4882906,0.46387417,0.44524237,0.44099403,0.50805816,0.50712124,0.49229101,0.53516296,0.49197253,0.47039275,0.51362422
3C_Homog,0.73316949,0.70685976,0.64398192,0.60798036,0.58941322,0.52561449,0.29530334,0.58336069,0.57374532,0.60343583,0.51799149,0.5039305,0.45928184,0.29323914,0.67634449,0.63207163,0.61353264,0.59023667,0.59527102,0.55414255,0.27337139,0.68022234,0.63474845,0.62117802,0.59751153,0.56709172,0.54978653,0.42756743,0.61696233,0.61526031,0.61659572,0.6044044,0.60051105,0.56132369,0.38052989,0.69417322,0.70470272,0.69099528,0.67206019,0.66596462,0.65295568,0.38483183,0.57682962,0.54891564,0.57382882,0.55002127,0.56997788,0.4888495,0.10326923,0.54492835,0.5339535,0.51786917,0.52646502,0.51315558,0.49094188,0.13626758,0.53065712,0.54797702,0.49027539,0.48571258,0.46494124,0.39722148,0,0.71136941,0.64607825,0.65961898,0.62812787,0.63689433,0.64943452,0.559953,0.75346225,0.69417965,0.69761115,0.69341755,0.67839496,0.68431785,0.53016189,0.71401965,0.66303651,0.67025732,0.60046852,0.62534983,0.5994336,0.53074404,0.61182438,0.66005989,0.65934717,0.69245684,0.70704839,0.62540655,0.38487207,0.64701869,0.65645782,0.6256719,0.64355278,0.62690354,0.58681582,0.65566606,0.63006333,0.66303855,0.66303396,0.67266465,0.59671899,0.37081909
4A_1h,0.368238,0.37753826,0.43631144,0.47322454,0.50176393,0.5446434,0.6380966,0.4572901,0.41135521,0.40836847,0.46787305,0.49601841,0.50754715,0.64501136,0.38686102,0.3882268,0.44903524,0.4840703,0.46804962,0.52262929,0.65032591,0.36080376,0.34465652,0.4085904,0.45399716,0.45035979,0.50481585,0.66608273,0.33835037,0.37688802,0.41961609,0.44522197,0.42673968,0.52277761,0.68500515,0.31227026,0.30003871,0.39850621,0.4242483,0.43025891,0.50462005,0.6763526,0.40507055,0.41407553,0.46566705,0.47392102,0.42825959,0.49237443,0.70411934,0.52644401,0.54163648,0.58104227,0.54681288,0.57692617,0.60302378,0.73796264,0.63210665,0.54748041,0.55711868,0.57070271,0.57068106,0.60873658,0.71136941,0,0.13793432,0.24924892,0.25774531,0.21267578,0.31568394,0.52308737,0.17495085,0.20585568,0.29608616,0.32055514,0.32064656,0.3262074,0.54195997,0.11267556,0.19497563,0.2084919,0.25766723,0.26575291,0.26260637,0.47995191,0.48866231,0.54021187,0.53853122,0.51844136,0.57936403,0.63123296,0.71799507,0.41239156,0.42753892,0.54283566,0.50376789,0.52759981,0.60804582,0.47376804,0.53344349,0.48607686,0.58113978,0.52735834,0.65513875,0.69720539
4A_2h,0.3960808,0.39480371,0.42528768,0.43007538,0.46105495,0.49048223,0.59845982,0.45898746,0.41927169,0.41193247,0.41649108,0.4496317,0.46068074,0.60537458,0.40250443,0.39209586,0.40902686,0.40335531,0.40281117,0.44628136,0.60254866,0.39618748,0.31441604,0.33799186,0.36667489,0.3742386,0.42909809,0.60963651,0.36012963,0.32009907,0.32948433,0.3456283,0.33120304,0.41826712,0.62332165,0.31893766,0.29809415,0.33114027,0.33976297,0.34362108,0.42127657,0.62135698,0.4229691,0.39434975,0.42675974,0.44617707,0.40823511,0.46463047,0.64308779,0.50755061,0.52375344,0.55553095,0.5187655,0.55076966,0.58164268,0.68137633,0.60695661,0.52590777,0.53939228,0.54613222,0.55395071,0.59791542,0.64607825,0.13793432,0,0.13853242,0.15469181,0.11483137,0.21320037,0.4639458,0.21064469,0.13544395,0.214796,0.24277456,0.23329689,0.2568313,0.48990304,0.19896009,0.11310842,0.1469314,0.16073869,0.15841263,0.16777115,0.44050326,0.44015828,0.47706972,0.47239306,0.45757488,0.51622188,0.56492063,0.66308819,0.44630139,0.43407165,0.48414898,0.45811603,0.47573985,0.55266267,0.49378209,0.4838654,0.47889814,0.52039498,0.47018526,0.59213737,0.63357764
4A_4h,0.46384259,0.46086605,0.46062763,0.46303898,0.50600587,0.53626323,0.58957793,0.53332427,0.48352717,0.45953096,0.46533885,0.50764634,0.52207633,0.594886,0.45785718,0.43791882,0.43946416,0.43900192,0.43625081,0.46633234,0.59620207,0.43447081,0.34509002,0.32783708,0.37355513,0.36260579,0.42410472,0.55474711,0.41828602,0.33125663,0.3492086,0.35834413,0.33948009,0.39191511,0.56843226,0.35179599,0.33405246,0.32334868,0.33788501,0.33602755,0.4091847,0.59674842,0.46194244,0.43539935,0.46422008,0.47642705,0.4476503,0.50777956,0.6572971,0.57678449,0.58494444,0.62130147,0.58453601,0.61654017,0.64364426,0.67957891,0.67351409,0.58810088,0.59773915,0.61132318,0.61130153,0.65159875,0.65961898,0.24924892,0.13853242,0,0.11701739,0.11136349,0.17303651,0.4777349,0.27305526,0.19239683,0.18258383,0.24493386,0.23664591,0.24477906,0.49255509,0.27078718,0.17925933,0.16482222,0.18883699,0.19193092,0.18212372,0.45726505,0.44983758,0.4769037,0.46588937,0.43878458,0.46618564,0.50747053,0.62873127,0.49758127,0.45100715,0.44482461,0.43023839,0.46836894,0.54525821,0.54363845,0.51005946,0.48475582,0.48043004,0.47218352,0.56444829,0.59688894
4A_6h,0.43147796,0.42476297,0.42259788,0.42783761,0.43979147,0.43996494,0.54387019,0.4951628,0.44242779,0.4182679,0.41709682,0.42641541,0.4538219,0.53912695,0.42204581,0.4033816,0.413369,0.38992995,0.38450379,0.37709134,0.54881331,0.45728249,0.39250154,0.36770336,0.37108116,0.38692858,0.39845487,0.55322034,0.48426684,0.37742055,0.34853246,0.355996,0.34826743,0.38413137,0.56690549,0.3561186,0.33043862,0.31496166,0.29528022,0.32110066,0.35921379,0.57487076,0.43937542,0.39555171,0.39423948,0.4127693,0.40943708,0.43252558,0.62315785,0.53030794,0.53652628,0.53520851,0.52527739,0.53044722,0.5575513,0.65527944,0.58663417,0.51965933,0.5133055,0.52523022,0.52786393,0.57182864,0.62812787,0.25774531,0.15469181,0.11701739,0,0.08060158,0.116146,0.41033349,0.32987301,0.20530597,0.16588946,0.16182334,0.16406255,0.18710846,0.45589317,0.31738386,0.12087532,0.19910087,0.18597119,0.17309493,0.20819433,0.39437128,0.39382144,0.43345422,0.41933484,0.38806437,0.44752246,0.46953335,0.58769871,0.47113806,0.41928066,0.40631891,0.39613998,0.42709406,0.4693943,0.52297217,0.48743082,0.45238829,0.48504711,0.45737052,0.51683424,0.55731195
4A_8h,0.40479138,0.41024538,0.40993733,0.41588879,0.42970931,0.45452513,0.54725711,0.48536844,0.43404581,0.41063555,0.4116003,0.43121444,0.45126851,0.54758048,0.40373376,0.38532471,0.39885141,0.38129204,0.37274861,0.38317193,0.54963146,0.42013638,0.33539704,0.33560977,0.35874795,0.37037847,0.39233003,0.56924996,0.42596331,0.33349145,0.33975915,0.34476429,0.33328051,0.40335585,0.58071951,0.3318979,0.2737886,0.29819287,0.30134989,0.30441322,0.37410142,0.57902166,0.42895146,0.3878022,0.42630212,0.43566976,0.40005316,0.45054569,0.63457245,0.51885568,0.52728893,0.55621623,0.51945078,0.55145494,0.57855902,0.66964822,0.61202573,0.52301565,0.5330049,0.54623795,0.5462163,0.58009671,0.63689433,0.21267578,0.11483137,0.11136349,0.08060158,0,0.1108403,0.42454246,0.28941942,0.16919179,0.1907808,0.20286108,0.2195927,0.20208376,0.46213203,0.26620201,0.16639449,0.17004553,0.16755252,0.19317059,0.1574216,0.40032608,0.41789052,0.45213858,0.44142188,0.40324064,0.46392637,0.48401819,0.58986249,0.44528056,0.39870644,0.41811952,0.38145846,0.41531705,0.48486944,0.49133774,0.46265965,0.43706973,0.46616864,0.43744245,0.52820084,0.57020852
4A_20h,0.42426999,0.41503401,0.41200582,0.40885432,0.41095601,0.39327975,0.48939074,0.50497427,0.44987992,0.42572002,0.42454894,0.43230417,0.44834001,0.52090581,0.394173,0.39237216,0.40579414,0.38537384,0.37951457,0.36771768,0.52691617,0.46316379,0.39601845,0.36180757,0.35907671,0.38103278,0.3760525,0.55363053,0.48091004,0.37011432,0.33291292,0.34154796,0.33721808,0.39580919,0.56276868,0.37733231,0.3425841,0.30544216,0.30711992,0.29885317,0.34800084,0.53731629,0.45759765,0.39829194,0.43952315,0.45462882,0.40956128,0.46476607,0.64711264,0.53647055,0.53729057,0.55829399,0.52604168,0.5535327,0.58063678,0.67957633,0.62597158,0.5293773,0.54695075,0.54831571,0.54829406,0.58496991,0.64943452,0.31568394,0.21320037,0.17303651,0.116146,0.1108403,0,0.35753626,0.37988965,0.24781886,0.22250536,0.21558635,0.22620202,0.20945307,0.45168806,0.36005379,0.24765056,0.23176513,0.20741049,0.22866026,0.20644126,0.35250875,0.4188062,0.4586758,0.43749498,0.36167493,0.41115442,0.42727588,0.54019938,0.45237782,0.39284274,0.39474034,0.37967708,0.40595322,0.41262003,0.49907569,0.43778149,0.43729329,0.45003871,0.4327108,0.47218134,0.53699192
4A_Homog,0.5864593,0.60246405,0.56928903,0.5645522,0.55453999,0.50396751,0.4121126,0.54863543,0.52434409,0.50948982,0.4905281,0.4758324,0.48869801,0.4033812,0.56695612,0.5562902,0.56562602,0.54368014,0.53293666,0.49967398,0.38811348,0.55590451,0.51848038,0.51765464,0.49817745,0.52193949,0.48153906,0.4202217,0.53149128,0.50205058,0.49428517,0.49315006,0.49315371,0.49421679,0.43548791,0.52801088,0.49310886,0.49024862,0.47670504,0.49132382,0.47812669,0.41527467,0.60394504,0.56537202,0.56621067,0.57952834,0.58912453,0.59074817,0.52899301,0.60599757,0.62811833,0.63910898,0.63264958,0.6308821,0.65061048,0.58118829,0.67386788,0.63084722,0.60724387,0.61316907,0.60708959,0.62079538,0.559953,0.52308737,0.4639458,0.4777349,0.41033349,0.42454246,0.35753626,0,0.58896554,0.51631709,0.50806281,0.49071712,0.47871692,0.48129147,0.21049571,0.53453246,0.43856484,0.442168,0.41900052,0.40358602,0.37688578,0.15599747,0.46767761,0.52140591,0.48089544,0.42600831,0.4717494,0.46043399,0.43525803,0.55429032,0.50386805,0.50549721,0.52036668,0.52595882,0.44914492,0.58991926,0.49140833,0.52802297,0.54335889,0.55314725,0.52852615,0.43456318
4B_1h,0.33485943,0.34980583,0.42094927,0.47731925,0.52294866,0.56021665,0.70045337,0.40258672,0.39694091,0.39816782,0.48515867,0.51274395,0.5509815,0.69822599,0.35902151,0.39224103,0.45134401,0.50592469,0.50143749,0.55931021,0.71104485,0.4139247,0.39052171,0.44511328,0.50339492,0.48672775,0.57477232,0.74900241,0.38320705,0.43895648,0.4880533,0.51126917,0.48626575,0.56390639,0.76792483,0.40537014,0.39787745,0.46550295,0.49640672,0.48822499,0.5731142,0.7762877,0.38743558,0.42317042,0.4566297,0.48800421,0.44277075,0.52020261,0.74649832,0.484154,0.48994105,0.52613971,0.49398887,0.52677041,0.58326317,0.78005548,0.59350861,0.52387186,0.5359547,0.54444028,0.55147591,0.63423963,0.75346225,0.17495085,0.21064469,0.27305526,0.32987301,0.28941942,0.37988965,0.58896554,0,0.16176781,0.27329392,0.32354594,0.31376829,0.34323075,0.56124988,0.18846515,0.23893365,0.26317535,0.32002151,0.30102223,0.31912846,0.54284576,0.56544167,0.58933539,0.61596986,0.59153591,0.60991595,0.68243868,0.77400289,0.49148104,0.50047971,0.59487125,0.60694512,0.62517782,0.691299,0.55255545,0.61023199,0.57647507,0.63565645,0.59581918,0.72653468,0.76695002
4B_2h,0.34663144,0.34680444,0.35055969,0.36974527,0.40616539,0.43621746,0.63481412,0.39757544,0.36618456,0.34757162,0.37409545,0.41503608,0.44907483,0.62395654,0.35375523,0.34876249,0.36769428,0.39004775,0.38033904,0.41330691,0.64282555,0.4121913,0.36262799,0.38908615,0.43169011,0.43011288,0.4902025,0.70319963,0.42468508,0.39047246,0.41794526,0.42577798,0.40380991,0.4919811,0.71688477,0.36500205,0.3512717,0.3849093,0.41534824,0.4021784,0.49126417,0.72202395,0.3817529,0.34288474,0.39694212,0.42105652,0.36281062,0.42605964,0.68200491,0.44022518,0.44272038,0.48485173,0.45048774,0.48498823,0.51663813,0.71774952,0.56720044,0.4828752,0.50007077,0.4971237,0.50324182,0.54698811,0.69417965,0.20585568,0.13544395,0.19239683,0.20530597,0.16919179,0.24781886,0.51631709,0.16176781,0,0.1394275,0.17034983,0.17293705,0.19415723,0.49847395,0.24296546,0.16643377,0.18557811,0.23015119,0.21919444,0.2182833,0.47821727,0.50340617,0.53473477,0.52887644,0.48993228,0.54983133,0.58840859,0.70076561,0.46325858,0.44436962,0.49813517,0.47120328,0.49024884,0.56951068,0.50718636,0.50135674,0.48476793,0.54017066,0.49271553,0.60730966,0.67912712
4B_4h,0.41131962,0.37624064,0.35741946,0.36317439,0.39989632,0.43077767,0.62401694,0.44068886,0.39240936,0.36139704,0.36658605,0.4068248,0.44202486,0.61315935,0.38670172,0.37235101,0.37694624,0.38013754,0.37338577,0.38896372,0.63202836,0.47239505,0.43384427,0.43302311,0.43119685,0.45444646,0.4888152,0.68521392,0.5276349,0.45455887,0.42595048,0.43095562,0.4238054,0.48864348,0.70058258,0.42846326,0.41529069,0.40317771,0.43369464,0.40425768,0.48987687,0.70901437,0.37108066,0.32864872,0.35033792,0.37317925,0.34673588,0.39245646,0.67613935,0.44236177,0.44602979,0.48121065,0.45022902,0.47980311,0.5030098,0.71770025,0.56699642,0.46688228,0.48449822,0.4822316,0.48669019,0.52647676,0.69761115,0.29608616,0.214796,0.18258383,0.16588946,0.1907808,0.22250536,0.50806281,0.27329392,0.1394275,0,0.10719563,0.08723167,0.10177892,0.47833831,0.33183913,0.21791329,0.21976189,0.22455324,0.22817123,0.24344743,0.47278196,0.4690089,0.50948922,0.49824772,0.44631499,0.51211457,0.54230646,0.68252127,0.48629689,0.44886937,0.47559706,0.42088734,0.45901789,0.53583459,0.53204187,0.50761701,0.47517453,0.51099495,0.48046963,0.57813395,0.65793521
4B_6h,0.3944112,0.37942208,0.35784555,0.35647774,0.38094862,0.38828889,0.60648918,0.44683773,0.40255097,0.36903605,0.37349475,0.39945744,0.43915558,0.59857465,0.39035608,0.36678727,0.37196318,0.3604605,0.36939014,0.35500122,0.6222748,0.46866536,0.43315344,0.4254018,0.43090716,0.44975383,0.46224124,0.66758551,0.52349743,0.44777051,0.42018217,0.42764572,0.41991715,0.46073897,0.6773968,0.44737156,0.39288264,0.38513404,0.37344911,0.39001056,0.44370178,0.68772729,0.41557577,0.33968655,0.33976714,0.36260848,0.35397332,0.37075738,0.67194576,0.47434292,0.45433987,0.45383115,0.45535052,0.46756805,0.49046119,0.71350666,0.55110253,0.47509459,0.47674664,0.46759901,0.47442089,0.5114187,0.69341755,0.32055514,0.24277456,0.24493386,0.16182334,0.20286108,0.21558635,0.49071712,0.32354594,0.17034983,0.10719563,0,0.0613053,0.09079025,0.46517055,0.35496896,0.25368393,0.23745927,0.23936962,0.2098945,0.26188493,0.46047807,0.47829366,0.50398737,0.48959028,0.44081314,0.50539799,0.53055497,0.6803934,0.4863006,0.46104544,0.44275187,0.4394517,0.45382173,0.48451241,0.52516744,0.51751038,0.48332188,0.52452974,0.48058649,0.55575754,0.65185115
4B_8h,0.42909106,0.40478973,0.37108773,0.36971992,0.3992032,0.39806178,0.58899751,0.44562149,0.40015565,0.36685728,0.37201419,0.39151692,0.43067104,0.58319328,0.40131788,0.3744919,0.38309507,0.37159239,0.38052203,0.36397584,0.60478313,0.50325243,0.46694614,0.45493067,0.44181529,0.48172699,0.47672903,0.66077967,0.55739687,0.47976846,0.42752072,0.43312242,0.44342964,0.46868056,0.6739738,0.46518139,0.43813598,0.4177835,0.41245932,0.4184169,0.45818958,0.68388729,0.39638543,0.32621256,0.30986175,0.33793055,0.34155552,0.34731484,0.65692317,0.45487709,0.45537642,0.45657821,0.45139615,0.45152126,0.47618186,0.69848406,0.54509525,0.46006774,0.45478719,0.44617027,0.45042781,0.48907091,0.67839496,0.32064656,0.23329689,0.23664591,0.16406255,0.2195927,0.22620202,0.47871692,0.31376829,0.17293705,0.08723167,0.0613053,0,0.0778051,0.4529276,0.35511532,0.24188689,0.24468983,0.25080323,0.20607082,0.2645714,0.44486754,0.45566859,0.47969512,0.46529804,0.4165209,0.48110574,0.51228271,0.66716555,0.49747092,0.44945344,0.42312627,0.43358181,0.4442918,0.47673996,0.54469004,0.50275278,0.47631766,0.51448848,0.46755307,0.54627562,0.6386233
4B_20h,0.42516248,0.38974058,0.35599485,0.35462704,0.37909792,0.41247442,0.58426634,0.45510955,0.38923551,0.35598088,0.36373139,0.38760824,0.41559777,0.57625114,0.407932,0.37038615,0.37477574,0.36551887,0.37220082,0.35350343,0.60388817,0.49797866,0.46302822,0.44106712,0.42075492,0.45509493,0.44907439,0.6677592,0.54405279,0.46171926,0.40151548,0.40270393,0.41374184,0.46945705,0.67980726,0.46434209,0.40600983,0.37495954,0.39708765,0.37559294,0.44277417,0.69086682,0.40145446,0.32377827,0.32456504,0.35129902,0.32886324,0.36238378,0.66677762,0.45424766,0.45359838,0.47309573,0.4421141,0.46907355,0.48603565,0.70440695,0.57298307,0.45742904,0.46716565,0.46372256,0.46201162,0.49893033,0.68431785,0.3262074,0.2568313,0.24477906,0.18710846,0.20208376,0.20945307,0.48129147,0.34323075,0.19415723,0.10177892,0.09079025,0.0778051,0,0.44674339,0.36371648,0.24621581,0.22960023,0.23217287,0.22648346,0.23255922,0.45105243,0.4864851,0.51102801,0.49663093,0.44785379,0.51243863,0.5251526,0.6827766,0.4926366,0.43606044,0.44286143,0.39125056,0.41476603,0.48403943,0.52637338,0.49812944,0.45989669,0.47778803,0.44684713,0.53702746,0.65423434
4B_Homog,0.61872693,0.56836119,0.51190167,0.5198604,0.5291141,0.47348473,0.43279692,0.56984025,0.48689952,0.50109466,0.41852616,0.42666992,0.46616599,0.38936617,0.59422681,0.53092521,0.51426677,0.50892022,0.50920236,0.48350898,0.39969528,0.62811872,0.59522937,0.58128087,0.58146328,0.58889506,0.56056818,0.51441049,0.60305734,0.56563119,0.54923006,0.54430291,0.54452001,0.53454342,0.53718252,0.64263368,0.57885775,0.55931137,0.54806156,0.55782773,0.54697246,0.555627,0.58589426,0.49703035,0.55052918,0.56281026,0.56297801,0.57114728,0.50854734,0.57464374,0.53891283,0.53268572,0.53550142,0.5084003,0.53414492,0.49766143,0.61125398,0.56337766,0.55151459,0.55621313,0.53662627,0.51905539,0.53016189,0.54195997,0.48990304,0.49255509,0.45589317,0.46213203,0.45168806,0.21049571,0.56124988,0.49847395,0.47833831,0.46517055,0.4529276,0.44674339,0,0.5506646,0.4939765,0.47763808,0.41949816,0.46317778,0.42272525,0.17400419,0.555639,0.60366533,0.56924193,0.55129911,0.59111578,0.57980037,0.54284162,0.63473897,0.58661738,0.56583195,0.59007466,0.60597562,0.57787122,0.67516109,0.58791101,0.60176136,0.60480228,0.61476603,0.64457404,0.52539498
4C_1h,0.41208657,0.43016257,0.4901632,0.52362167,0.55365911,0.58437837,0.64253033,0.44959476,0.44186487,0.45246965,0.50718028,0.53770701,0.54801174,0.64499237,0.40873879,0.43030999,0.49523597,0.53184611,0.51498845,0.57208668,0.65528723,0.32724491,0.34097037,0.39706358,0.45095985,0.43217235,0.51008533,0.66959791,0.32349122,0.39386074,0.44066784,0.47016484,0.44525493,0.52930329,0.68630473,0.35050762,0.320167,0.41128464,0.44714918,0.44466951,0.53590684,0.67843377,0.4482498,0.47337929,0.51339603,0.52044964,0.48289079,0.53609825,0.70997418,0.598854,0.61404647,0.65309098,0.61632553,0.64832969,0.67543377,0.76520951,0.70451664,0.6198904,0.62952866,0.64311269,0.64309104,0.67395112,0.71401965,0.11267556,0.19896009,0.27078718,0.31738386,0.26620201,0.36005379,0.53453246,0.18846515,0.24296546,0.33183913,0.35496896,0.35511532,0.36371648,0.5506646,0,0.18915379,0.19911329,0.25587072,0.24233215,0.25496164,0.48946727,0.51279843,0.55516644,0.54979312,0.54108976,0.56781684,0.62485723,0.72833627,0.44594566,0.47239782,0.54317099,0.5485508,0.56759637,0.6436046,0.51723603,0.56256162,0.5280897,0.578075,0.5468204,0.66895323,0.69351424
4C_2h,0.42565167,0.42685074,0.44511607,0.44974892,0.47131785,0.5075831,0.57745789,0.42943867,0.40097142,0.40521107,0.42196316,0.45188946,0.46862134,0.58437264,0.4257369,0.41543743,0.43529954,0.43684819,0.42832206,0.46322379,0.58154672,0.36707811,0.32441815,0.32468258,0.36025922,0.36592633,0.41797769,0.59923472,0.3685135,0.30239249,0.33357654,0.35340946,0.32946936,0.43117055,0.61815714,0.32799559,0.30203525,0.33100932,0.35174643,0.3508784,0.42975749,0.60647622,0.44066648,0.39833002,0.43519713,0.45461445,0.41221538,0.47357481,0.65587193,0.5399596,0.55851189,0.59337664,0.55661118,0.58861534,0.61571942,0.7176346,0.64480229,0.56017605,0.57244793,0.58339835,0.58700636,0.63097107,0.66303651,0.19497563,0.11310842,0.17925933,0.12087532,0.16639449,0.24765056,0.43856484,0.23893365,0.16643377,0.21791329,0.25368393,0.24188689,0.24621581,0.4939765,0.18915379,0,0.0772286,0.1135816,0.12755462,0.12853188,0.41082654,0.4459955,0.47019084,0.46481752,0.45611417,0.50298933,0.53127474,0.65520509,0.43593547,0.42736564,0.46954655,0.43459487,0.46955872,0.54983207,0.4881076,0.47481045,0.47298031,0.48426715,0.4570976,0.55826613,0.61920342
4C_4h,0.41446867,0.40567128,0.41759341,0.44614694,0.48479231,0.51963342,0.571266,0.43051128,0.38070274,0.38386573,0.41638244,0.46004719,0.48008636,0.57818076,0.41331671,0.39921665,0.40901797,0.43646181,0.43116097,0.47498913,0.57535484,0.36532781,0.30347722,0.31784484,0.35070451,0.3503179,0.41444151,0.57392216,0.36638057,0.30294622,0.31709153,0.33160214,0.3039477,0.3968889,0.58760731,0.33390829,0.29605184,0.31472312,0.35148339,0.34550283,0.42774719,0.59103994,0.43562313,0.39382002,0.44720181,0.46194293,0.4096385,0.48039634,0.65907104,0.55311665,0.55819927,0.59724379,0.56047833,0.5924825,0.61958658,0.71133334,0.64866944,0.5640432,0.57368147,0.5872655,0.58724385,0.63007522,0.67025732,0.2084919,0.1469314,0.16482222,0.19910087,0.17004553,0.23176513,0.442168,0.26317535,0.18557811,0.21976189,0.23745927,0.24468983,0.22960023,0.47763808,0.19911329,0.0772286,0,0.09179732,0.10458099,0.1106005,0.41330479,0.46986289,0.47408265,0.45901942,0.45120007,0.49413692,0.52395527,0.64758633,0.42710327,0.41044602,0.45786615,0.4219439,0.45708102,0.5371811,0.48128109,0.47249593,0.43830611,0.47426132,0.45309504,0.54884028,0.60212668
