,1A_1h,1A_2h,1A_4h,1A_6h,1A_8h,1A_20h,1A_Homog,1B_1h,1B_2h,1B_4h,1B_6h,1B_8h,1B_20h,1B_Homog,1C_1h,1C_2h,1C_4h,1C_6h,1C_8h,1C_20h,1C_Homog,2A_1h,2A_2h,2A_4h,2A_6h,2A_8h,2A_20h,2A_Homog,2B_1h,2B_2h,2B_4h,2B_6h,2B_8h,2B_20h,2B_Homog,2C_1h,2C_2h,2C_4h,2C_6h,2C_8h,2C_20h,2C_Homog,3A_1h,3A_2h,3A_4h,3A_6h,3A_8h,3A_20h,3A_Homog,3B_1h,3B_2h,3B_4h,3B_6h,3B_8h,3B_20h,3B_Homog,3C_1h,3C_2h,3C_4h,3C_6h,3C_8h,3C_20h,3C_Homog,4A_1h,4A_2h,4A_4h,4A_6h,4A_8h,4A_20h,4A_Homog,4B_1h,4B_2h,4B_4h,4B_6h,4B_8h,4B_20h,4B_Homog,4C_1h,4C_2h,4C_4h,4C_6h,4C_8h,4C_20h,4C_Homog,5A_1h,5A_2h,5A_4h,5A_6h,5A_8h,5A_20h,5A_Homog,5B_1h,5B_2h,5B_4h,5B_6h,5B_8h,5B_20h,5C_1h,5C_2h,5C_4h,5C_6h,5C_8h,5C_20h,5C_Homog
3B_1h,0.35215766,0.36724147,0.38211964,0.38368367,0.42693439,0.43269321,0.58067217,0.34377301,0.38143433,0.36897516,0.39476368,0.39005854,0.37929504,0.57271016,0.33804785,0.38380382,0.39668027,0.43193015,0.4316165,0.45243539,0.58186808,0.54993322,0.531834,0.51564433,0.50550436,0.51744167,0.52417963,0.65522253,0.55656836,0.53028334,0.53377533,0.52734653,0.51700855,0.58613511,0.64043329,0.59470933,0.5937036,0.5834142,0.59924643,0.55235222,0.59201627,0.65131162,0.20161162,0.25334729,0.31475738,0.32825892,0.25697945,0.32595869,0.52584567,0,0.12816898,0.21243475,0.22376121,0.2710031,0.32344708,0.57425771,0.2358807,0.19547666,0.17914547,0.21166427,0.21888472,0.2978705,0.54492835,0.52644401,0.50755061,0.57678449,0.53030794,0.51885568,0.53647055,0.60599757,0.484154,0.44022518,0.44236177,0.47434292,0.45487709,0.45424766,0.57464374,0.598854,0.5399596,0.55311665,0.55054458,0.55377682,0.53735187,0.59179514,0.47157159,0.55641239,0.6017359,0.56953851,0.63014357,0.61392678,0.64010808,0.41730481,0.44415967,0.52745713,0.49138944,0.48861558,0.54028111,0.49876745,0.49309644,0.49825016,0.56222297,0.52195173,0.61089621,0.60559753
3B_2h,0.32321416,0.30590438,0.31165099,0.31522717,0.34260398,0.35241172,0.52033421,0.35980084,0.32297357,0.35481749,0.32690156,0.3205438,0.3324067,0.51237221,0.3134215,0.30696542,0.30473032,0.3383665,0.33144623,0.35979101,0.52975267,0.54878952,0.52526178,0.49592609,0.50342591,0.51751714,0.52761493,0.63826442,0.57888714,0.53930737,0.53311092,0.51950718,0.50550283,0.58193407,0.64123618,0.5905777,0.58446742,0.55447422,0.5788123,0.53074735,0.58528847,0.653112,0.22487956,0.20208548,0.30357303,0.31200172,0.26609808,0.33922766,0.51206842,0.12816898,0,0.11408893,0.13970642,0.18807955,0.23511863,0.55924202,0.20010643,0.17446028,0.18117278,0.18364774,0.19254599,0.2570202,0.5339535,0.54163648,0.52375344,0.58494444,0.53652628,0.52728893,0.53729057,0.62811833,0.48994105,0.44272038,0.44602979,0.45433987,0.45537642,0.45359838,0.53891283,0.61404647,0.55851189,0.55819927,0.5071329,0.55375459,0.54750089,0.54876769,0.50686924,0.57835919,0.61668021,0.59824675,0.63925864,0.63815543,0.66151116,0.4556573,0.48878203,0.554172,0.4986112,0.50165861,0.54172525,0.53292663,0.53505276,0.5207673,0.57806383,0.54054174,0.61234034,0.62609032
3B_4h,0.34070767,0.30522904,0.3150803,0.31508295,0.32952394,0.32265608,0.50374089,0.38989689,0.33947671,0.36553904,0.3332443,0.31669818,0.34217685,0.48502633,0.32768973,0.3117557,0.30349106,0.32316432,0.33980449,0.3466065,0.51013242,0.58964972,0.56289494,0.52882457,0.50348129,0.51838703,0.50772367,0.65949879,0.63500087,0.58735676,0.55169791,0.53720456,0.53065417,0.57314159,0.63068488,0.6302797,0.62291737,0.57956844,0.55970678,0.55075326,0.57696899,0.63350275,0.30170132,0.2380298,0.25528677,0.25405318,0.26457275,0.28546698,0.5041161,0.21243475,0.11408893,0,0.07042515,0.10272459,0.17112973,0.53570111,0.2377494,0.19001828,0.16027524,0.14437581,0.15819757,0.23043035,0.51786917,0.58104227,0.55553095,0.62130147,0.53520851,0.55621623,0.55829399,0.63910898,0.52613971,0.48485173,0.48121065,0.45383115,0.45657821,0.47309573,0.53268572,0.65309098,0.59337664,0.59724379,0.53764661,0.53714578,0.57276012,0.55053676,0.52058995,0.55893032,0.59895608,0.59298649,0.62210816,0.63074435,0.65604027,0.49573216,0.5301837,0.55309568,0.51742084,0.51235644,0.51215768,0.57906906,0.57826145,0.56621579,0.60512651,0.55458186,0.57645862,0.60843701
3B_6h,0.34547272,0.27964732,0.28476987,0.2791995,0.29000964,0.31974033,0.51288365,0.36780148,0.30053687,0.32025915,0.29778407,0.27373295,0.30839453,0.49279148,0.30891885,0.27368152,0.26869194,0.29127052,0.3037988,0.31902042,0.5180163,0.56727319,0.54103219,0.50644804,0.47549605,0.49707455,0.48844428,0.65766432,0.62189937,0.5734548,0.54059882,0.51654084,0.51033846,0.57762852,0.63378273,0.61091209,0.60274929,0.55588622,0.56326435,0.53010054,0.5831506,0.63765273,0.29569498,0.21343528,0.23903899,0.23239942,0.20524491,0.26009472,0.50920174,0.22376121,0.13970642,0.07042515,0,0.07638298,0.16339902,0.55006186,0.24831142,0.18679501,0.17439056,0.1179409,0.13042781,0.2301467,0.52646502,0.54681288,0.5187655,0.58453601,0.52527739,0.51945078,0.52604168,0.63264958,0.49398887,0.45048774,0.45022902,0.45535052,0.45139615,0.4421141,0.53550142,0.61632553,0.55661118,0.56047833,0.50181681,0.52721466,0.53693033,0.54453275,0.51651286,0.53424135,0.5738168,0.5678472,0.5964551,0.61356586,0.64957692,0.46194698,0.47821008,0.5284093,0.47029539,0.46364269,0.49186656,0.53363828,0.5303629,0.51907068,0.55404555,0.50379935,0.55568285,0.60678302
3B_8h,0.40272712,0.33330737,0.32020185,0.31463148,0.32028676,0.28818674,0.46021433,0.41301496,0.33080475,0.34616422,0.31486223,0.28772058,0.33152207,0.4398961,0.35542457,0.31534142,0.28678915,0.29570413,0.30293322,0.30622021,0.47464283,0.60865225,0.57787032,0.54435157,0.51233418,0.5429617,0.52709822,0.64450769,0.66379349,0.61051898,0.57486013,0.55326055,0.54740264,0.58651717,0.62411583,0.65062261,0.63762988,0.59183222,0.57174936,0.56386598,0.59008172,0.63354512,0.34118951,0.25756631,0.23792885,0.22187602,0.22415692,0.23348063,0.50004769,0.2710031,0.18807955,0.10272459,0.07638298,0,0.09084146,0.50833242,0.25456464,0.22137851,0.18104889,0.1292027,0.12267293,0.17634161,0.51315558,0.57692617,0.55076966,0.61654017,0.53044722,0.55145494,0.5535327,0.6308821,0.52677041,0.48498823,0.47980311,0.46756805,0.45152126,0.46907355,0.5084003,0.64832969,0.58861534,0.5924825,0.53280518,0.53238449,0.56388805,0.54166469,0.50909916,0.52682764,0.55648989,0.55052029,0.5801936,0.59646501,0.63303866,0.48873658,0.4902797,0.51131701,0.47980454,0.47315184,0.47454138,0.54118989,0.53987204,0.52915112,0.5646201,0.51330849,0.52485139,0.59236751
3B_20h,0.43997576,0.38055225,0.32390007,0.30642416,0.30748572,0.2650884,0.425921,0.46252249,0.37091103,0.37476153,0.33590569,0.30822692,0.31139058,0.39954349,0.41517681,0.35981052,0.31805338,0.29557543,0.30555412,0.30195135,0.44996518,0.63596583,0.60247629,0.57145275,0.53815218,0.55188679,0.53602331,0.6206063,0.67111611,0.62243655,0.58760771,0.56007583,0.54566959,0.57369774,0.60189488,0.67351777,0.66370087,0.61841881,0.58842973,0.5814009,0.58195933,0.61027038,0.39126332,0.29823835,0.26378592,0.22807248,0.25847881,0.2280532,0.47181775,0.32344708,0.23511863,0.17112973,0.16339902,0.09084146,0,0.47480869,0.28377126,0.26679401,0.23276674,0.19085504,0.18307105,0.13703419,0.49094188,0.60302378,0.58164268,0.64364426,0.5575513,0.57855902,0.58063678,0.65061048,0.58326317,0.51663813,0.5030098,0.49046119,0.47618186,0.48603565,0.53414492,0.67543377,0.61571942,0.61958658,0.55990926,0.55948857,0.58963267,0.56740931,0.51618198,0.54259832,0.55750857,0.55854593,0.58640506,0.57926058,0.60724206,0.51360144,0.51564292,0.50633703,0.45090941,0.4359013,0.43729084,0.5396198,0.53620885,0.52159133,0.55561526,0.49685701,0.47206878,0.57122878
3B_Homog,0.75839644,0.7268873,0.66400946,0.6280079,0.60944076,0.51910252,0.30640666,0.64887766,0.61154186,0.62436878,0.53310979,0.5212092,0.47682307,0.29540434,0.69637203,0.65209917,0.63160723,0.61772019,0.61994258,0.58069463,0.29772789,0.75603419,0.71628326,0.70055832,0.67904633,0.64862653,0.6176635,0.51171417,0.69198776,0.68118423,0.67986415,0.67174023,0.66766209,0.62400497,0.46467664,0.75756897,0.76160053,0.74146504,0.72087,0.72045144,0.6902417,0.4616159,0.60757179,0.56900474,0.59391793,0.57011038,0.59000542,0.5089386,0.17764719,0.57425771,0.55924202,0.53570111,0.55006186,0.50833242,0.47480869,0,0.55588956,0.57378733,0.5160857,0.51152289,0.49075155,0.37162297,0.13626758,0.73796264,0.68137633,0.67957891,0.65527944,0.66964822,0.67957633,0.58118829,0.78005548,0.71774952,0.71770025,0.71350666,0.69848406,0.70440695,0.49766143,0.76520951,0.7176346,0.71133334,0.64583137,0.68637411,0.66070558,0.56821306,0.64924342,0.67842288,0.67771015,0.71081983,0.72541138,0.64376954,0.38627737,0.67416781,0.68273448,0.64403489,0.66191577,0.64526653,0.60517881,0.6828589,0.6544995,0.68140154,0.68139695,0.69102764,0.61508198,0.35859184
3C_1h,0.44676415,0.4025831,0.40803969,0.40594252,0.41998144,0.42226511,0.52059336,0.40587919,0.36441205,0.40087624,0.37261589,0.3409123,0.3700635,0.52391319,0.39799499,0.39089706,0.36688103,0.38351216,0.39294735,0.39843544,0.54130308,0.63641682,0.60661521,0.60062522,0.59279819,0.62004466,0.60938129,0.6662297,0.62957308,0.59979945,0.5862118,0.5822414,0.58241602,0.61454012,0.67096947,0.64037332,0.64807801,0.63612037,0.62154775,0.60793518,0.61144014,0.6707018,0.29777537,0.27720008,0.31824696,0.33215308,0.3186941,0.36532669,0.53484956,0.2358807,0.20010643,0.2377494,0.24831142,0.25456464,0.28377126,0.55588956,0,0.1582913,0.17921453,0.2092985,0.21385815,0.28938764,0.53065712,0.63210665,0.60695661,0.67351409,0.58663417,0.61202573,0.62597158,0.67386788,0.59350861,0.56720044,0.56699642,0.55110253,0.54509525,0.57298307,0.61125398,0.70451664,0.64480229,0.64866944,0.5929097,0.60465919,0.6399724,0.60615542,0.48073953,0.56826573,0.60399506,0.60985999,0.64859882,0.62849874,0.70259191,0.50285561,0.53277922,0.57238675,0.55294529,0.55670478,0.56321359,0.54503908,0.5765583,0.5684194,0.62832782,0.58303394,0.61691564,0.66073838
3C_2h,0.34575239,0.3117173,0.31280976,0.32759485,0.3626568,0.387857,0.5260234,0.35595305,0.30077809,0.32453201,0.31290964,0.30809123,0.32923757,0.5232051,0.3041653,0.29381891,0.30752479,0.33653556,0.34480061,0.35474362,0.55277648,0.57830238,0.54909773,0.53937488,0.51984668,0.55052132,0.53642979,0.64615759,0.56583783,0.53606421,0.51046613,0.49921769,0.49939231,0.54916782,0.65193021,0.58483119,0.58359605,0.5532796,0.55542873,0.52416475,0.54606784,0.65847341,0.28781777,0.20831185,0.25888093,0.2884112,0.23665314,0.32113323,0.53842629,0.19547666,0.17446028,0.19001828,0.18679501,0.22137851,0.26679401,0.57378733,0.1582913,0,0.07799083,0.13144034,0.14584677,0.26076647,0.54797702,0.54748041,0.52590777,0.58810088,0.51965933,0.52301565,0.5293773,0.63084722,0.52387186,0.4828752,0.46688228,0.47509459,0.46006774,0.45742904,0.56337766,0.6198904,0.56017605,0.5640432,0.51067334,0.52272148,0.54186716,0.57796738,0.46215192,0.5489889,0.58508208,0.56042709,0.61697109,0.60757321,0.68284689,0.44650202,0.46473957,0.52475231,0.48393459,0.49246982,0.53651079,0.49079035,0.51326447,0.50297307,0.54175905,0.49670653,0.57610391,0.64798999
3C_4h,0.37468429,0.34377262,0.3475402,0.35232197,0.39388806,0.36514906,0.49268805,0.36776716,0.32735468,0.33843476,0.33721598,0.32024034,0.32272487,0.47961107,0.32604865,0.32891755,0.34041028,0.36942105,0.37768611,0.37932924,0.49682312,0.58394637,0.55495597,0.52312122,0.49342334,0.52022283,0.50794234,0.59971846,0.57935741,0.54958379,0.52398571,0.51454832,0.51472294,0.54684704,0.58813334,0.60421476,0.59927287,0.56617251,0.55159988,0.53798731,0.54374706,0.59895538,0.284876,0.23121194,0.25190458,0.24664534,0.21793435,0.26373319,0.47486067,0.17914547,0.18117278,0.16027524,0.17439056,0.18104889,0.23276674,0.5160857,0.17921453,0.07799083,0,0.09387927,0.10500683,0.2091355,0.49027539,0.55711868,0.53939228,0.59773915,0.5133055,0.5330049,0.54695075,0.60724387,0.5359547,0.50007077,0.48449822,0.47674664,0.45478719,0.46716565,0.55151459,0.62952866,0.57244793,0.57368147,0.52835278,0.51358346,0.54245659,0.56626596,0.4542693,0.53266082,0.568754,0.55127508,0.60707013,0.59814362,0.62704306,0.44911551,0.4772808,0.50412192,0.47747238,0.4723917,0.50454234,0.50849893,0.52504659,0.51475519,0.55154693,0.51166881,0.56024545,0.57399543
