Inference strategy:
var dist = Infer({method:'SMC', particles: 10000, rejuvSteps: 50, model: mymodel})
log Z = -434.09124204157945
DNA yield shape (k): 1.5566181442291191 +/- 0.1540521916552434
DNA yield scale (theta): 1.0933365416649778 +/- 1.3533192282980764
PCR factor log mean (mu): 6.801152687031544 +/- 0.9259213278745732
PCR factor log stand dev (sigma): 1.2831128797861173 +/- 0.07608259386979412
"score", "k", "theta", "mu", "sigma", "c1", "c2", "c3", "c4", "c5", "c6", "c7", "c8", "c9", "c10", "c11", "c12", "c13", "c14", "c15", "c16", "c17", "c18", "c19", "c20", "c21", "c22", "c23", "c24", "c25", "c26", "c27", "c28", "c29", "c30", "c31", "c32", "c33", "c34", "c35", "c36", "c37", "c38", "c39", "c40", "c41", "c42", "c43", "c44", "c45", "c46", "c47", "c48", "c49", "c50", "c51", "c52", "c53", "c54", "c55", "c56"
-13.122363377404328,1.6867571857289367,0.13241226877277285,8.068853278955482,1.5903217832231396,2595.9972248248623,4617.869317711743,4781.237618583156,6942.589280578319,6145.885190016628,2470.428281801103,4274.811032442037,7117.439506954732,2642.65346214321,4334.698082587318,27427.558414256717,4665.722538516706,3508.3519962121572,2942.067242851761,2873.503368486439,3544.2093053067288,3133.961852267442,1379.0890084191026,3311.906947769275,8768.253089136462,1985.9741942905966,3614.980106700456,4106.690624379936,4451.459934024289,2699.9232447202967,14715.016404541462,2494.5312943874724,8604.82300535451,15790.80711492183,8423.48529121206,3580.9337827943964,4897.177957905267,246.1935328789331,2994.87071823297,3751.5573258010136,3561.836254431111,6081.407288550574,2024.991405494025,3261.1701698619645,2793.209574976391,7977.6069165885165,3225.176304431961,7059.7291188602985,1839.2614615855036,3642.790080593066,2667.7410604715374,9801.204158345397,2492.797126221727,8588.418813146582,5633.197446653724,3251.9025495202727,4152.590663238485,3408.828539978839,2776.0872495166127,3136.131642057432,5439.721931171856
-11.736069016284437,1.414838329681472,1.3365407295258342,6.35098918390367,1.390153557166879,340.2315885740926,480.74381438116836,868.024172977226,472.37908485072495,727.2303277654374,434.8342247123056,816.6333249331194,595.7639775870526,380.97690731835246,228.51637785159588,1060.6036750825233,358.23796273254095,365.17177069272793,660.8101339357635,269.38545097821105,430.47866636500726,497.43628565503224,454.92180654844947,264.8842676704578,1011.6609035646976,121.50547279248542,526.6187210500254,179.85433834811477,667.8810589269996,544.5513746934149,1670.0207531505548,333.71502250624786,819.3670801388281,1197.1100962193955,888.4912938287696,441.3356706156736,420.27843831140376,97.20036976406166,266.2705426602253,306.7373694370525,467.55815136346484,491.3365357377131,415.1858672209791,320.6843316873636,360.659660129308,559.2040715820168,788.5716256213459,2160.8478725118125,149.28582638688678,446.2213606352006,355.04907904268873,328.40262631979726,783.2749245468929,255.05856244903768,426.4319977785706,1047.334659510651,400.9877072444146,292.4797965296609,502.5722075774808,510.5560883344306,658.8339485229142
-11.330603908176274,1.7377523390059546,0.4706390734561711,6.968408271872658,1.3858096377585134,725.4780519458373,1531.5743001567002,1019.0589716711983,1200.4744008440227,2856.1193671433625,1303.2404373629302,2769.1757175020093,1343.473797209278,842.721779665561,1219.7414879566074,4670.061711395258,1937.9847098840885,939.4239006158847,1356.3242122569952,543.5782496922691,1332.6374355942448,944.4897551134632,905.3569662181653,822.5992721076545,3604.4388453519123,426.1052955645962,938.2423435534835,508.1259487153855,1053.7418968352124,2168.8673917089736,1140.2313437549258,695.6557887845615,1789.2245657680737,2779.1229632475925,2209.2610078192843,2142.2536211939296,3215.3410460839887,93.99479563020657,529.0524642325249,1120.5047682062727,967.8650631149457,1260.334748211072,1587.8593247005638,875.1075618844825,663.7801962096447,2475.403081110404,1817.6174165041498,857.1483686239347,1338.5551255924174,530.1757615254289,475.8737191349487,1322.61440781071,1332.0073287305902,980.957869699555,861.8160177207211,806.0683927165115,1545.022139973048,1049.2929535077612,1582.6963982335756,658.8549147015001,1601.549895876601
-11.176453228349015,1.639688947832153,1.0964525462861199,6.112297803724397,1.2153201124685633,365.25884576677623,1415.7805403165062,721.4808267180169,774.1884940365555,874.7007885068704,1071.1771106383567,551.0156464551213,520.2323924035779,338.38974931101745,342.93080335574984,1232.5243259658566,1068.4134811246838,188.56556037626595,411.81537358412197,627.1826235848597,1187.4621473485108,764.458104686619,185.7954054032083,524.9208896421159,409.43996616560054,191.0385213566808,581.361785460769,621.595680013059,805.9359606462162,667.1921261818932,660.3618729904726,256.4346131660011,942.6348059154204,1365.0895188363793,1433.8935436185686,388.30944973851405,464.1035740272644,49.54459342396761,674.8249189719627,419.270126154093,400.1084520764006,796.5341760014798,334.1918833362405,1045.3230705659903,665.6008890710648,1202.3045777657203,280.1483113838434,630.4413385229535,216.6862252975277,352.1920935269032,203.9688962380211,514.7072572363869,613.3918041400875,1663.623716658427,527.2397718693566,841.4963483250983,392.79713256927954,756.7206203201275,562.2655203179046,475.4567873159478,642.0069654605758
-12.429216196844383,1.534938506264051,0.3184499457537096,7.641618743096107,1.2250994976901348,2392.2565561827914,4363.86817004042,1733.7022638380297,1543.887442037144,4919.989395255505,2728.9337689924614,2326.254025584487,3129.3370604716,3057.2777945332564,1680.1148024378194,6845.499080903293,2053.5311589072367,2929.804169568495,2511.2031103305853,2347.8600709582925,1408.78000830687,1192.4473251617883,1375.7957958060224,1670.481907500533,2136.803415490781,1033.4710901803014,1827.9588851445817,2478.527547323435,1532.072799157181,1887.688742285883,3023.468618237933,4126.093638207258,6973.010425408433,5587.651920650843,2767.1920514940675,1828.7115876640776,5575.089452058651,96.88668728506336,1676.1369918936807,1288.2305826331356,1707.7621349261315,2042.3680612530022,1133.9941823703514,1299.4910376400985,1457.601405887641,2328.093406342561,1734.1118694275774,2002.808390868895,1006.7048578500273,1259.4160939111089,619.424709271534,1740.101499767581,3677.5357254164987,2270.1144310504774,1952.8707161691143,4772.8285208054,968.8275439983632,968.5027279779931,1892.617879700144,2147.0635716727666,3487.7424912212427
-10.92513880006811,1.719912028622433,0.34777175248698483,7.276426436136233,1.2250994976901348,982.6557618166945,1324.400225114935,1657.5800323411065,1137.4722264692848,1448.7397831849103,1699.694729521117,1666.702464887023,3476.1980968647213,1189.1486037482412,1722.1420687102363,3620.0463098579326,1290.9890607422776,2150.4586009518734,3178.510846868754,1293.7775647138508,2172.3662298857853,969.7339079991616,1144.9385655486085,827.7909235631707,2930.894339735515,661.0689445428554,780.9392174402499,1146.7267193239823,3704.224379245794,1773.9920214648453,2630.7499191529696,1493.5061737986266,2963.7692454605185,3337.2478204114173,1924.5227269686575,995.2125147197437,2076.624871103209,105.40107525666689,1242.3516902573015,1293.0425369409613,1381.4538380077834,1100.3072019774725,1399.1816876117894,666.0004697574645,914.3562877704126,2295.0120068859187,1503.9061512560825,2170.896021305708,740.992069744525,1596.0896558856286,884.2311414355493,966.126055489886,1681.8351957834723,1914.1890960805786,1488.765110266067,3528.924439389898,1217.8423925413758,1341.6444791145543,1411.63006687612,679.1303079428758,3042.224399866647
-12.429216196844383,1.573255414281322,0.1972869206647522,7.633920066038813,1.4138442468150563,2557.2000983345506,3078.8526937678716,5395.694791189362,1194.4834865449973,4593.846202610889,4083.3630723453434,3524.471300651886,6744.515091786565,2396.6233155436566,2153.7055824487534,4714.546585678755,5289.4908274540685,994.9570512907698,2294.580636852912,1817.219933713013,2798.9573734027804,1950.3354192856164,1819.9219113742236,1901.2390094983507,5270.617983171413,825.5786705811419,3256.99434326732,2372.8313959559746,5755.909827131615,2009.6164829690629,3021.0077855488607,1519.0890185404855,16546.549513065085,7343.744600283293,5613.916466037081,3485.5463151391723,4745.777088452267,334.8016984569546,2523.5239372795227,2885.575895293013,1968.4044574871175,3308.023014058669,1455.9364843770522,2031.9353806420816,3471.820452386658,5598.296935574137,1971.7917635471258,4008.483365929796,1070.9084550949835,1367.5524350962462,2094.705650446872,2727.4025567259314,6389.316442021458,2828.2452256607676,2581.191351436508,6305.825623734444,2478.91841147148,2140.447838951993,2102.710968723782,2450.592023476591,4108.745060754511
-11.176453228349015,1.7095253420237801,0.35044466973078614,7.198034795817561,1.2250994976901348,1230.8383295487051,1605.7472275615196,1042.3424563612123,945.0951667394912,3155.440807778313,1115.8210753498988,1620.8984996937227,1652.2604761087,2076.2337045616896,698.2333874912034,3737.2978442233943,4203.157409157968,1255.382572774832,1280.1093737779365,1709.408369709663,3450.929795891147,638.0789121923842,824.8543032565029,1227.9506190860463,1379.2275475602044,1290.483839987785,1221.271737173061,1181.245179284903,3394.0928951301335,3215.569565586427,2771.8733026929403,942.1018422533826,3157.9759064111086,1653.9449111949718,1558.2605760608587,2204.4531096062806,2041.326631804582,75.84179500623478,1337.1881667807545,1592.8380423496455,1225.560494301737,1003.712595322239,1112.9456279468948,917.2024522625045,1008.7670178910312,3466.0002905517467,989.368384375588,3159.9614687862054,1299.563559720989,1700.358158508029,620.8260409558305,2067.2113996576777,2131.929311233087,2099.7889554233307,637.0853304508365,2845.2402355487084,1877.3549449503955,1146.8292732603402,2215.627188362275,2226.550491126121,3978.1276052777403
-10.92513880006811,1.4901711005072797,0.32882752574021656,7.573644766040877,1.2250994976901348,2281.6897002021487,2071.8873856018154,2644.7393867379033,1406.74192914184,7782.670040250215,2206.0163051660556,8448.492030230273,3486.951616202232,1862.310110758451,2237.695929264744,7541.3613367128655,2097.8909742559963,1609.024102946278,1713.1269164991506,2726.834567052425,2759.9495157201873,909.2200521715457,1499.2152837821109,1488.0357414582113,3433.5141781664233,884.7939969098637,1777.5698192983796,1244.812726195953,2567.462803182157,2288.166211773487,2026.9750923869328,915.5343702435314,3689.2723588200806,4199.216049132049,3146.6670734631916,3477.162771126389,2684.3844159053724,126.61215872471321,1247.0677131988482,2920.8308622628356,1002.46902890241,3243.856160687011,1288.2008684779346,2527.8359971742816,917.8941911917689,3111.1443014318866,2290.1542019414837,3408.0859103646594,1474.2816999415707,804.6976936653159,1510.6239297011425,1076.0730454231198,906.9684972644254,2531.070957258784,1450.8239305671575,2785.857527846919,1997.776230664795,1388.9957469334804,1408.137837540217,943.07052792945,2769.8712259890276
-12.429216196844383,1.471139905052829,0.3733690776034764,7.485783817795313,1.2250994976901348,2036.9314862999572,1585.2630214920557,1233.5756543982136,1816.5398050457711,2091.083089360072,1531.744159380415,1452.9439061285793,1964.9923667332437,2191.114421135674,2267.2124389038154,3875.988801810987,2273.2654359504704,1545.2159516484544,838.1529255324072,1502.329815470096,1501.9818485272958,1252.1764097316106,1241.9409330803708,783.9457512803174,2788.3467599332394,681.9753412872806,614.0324987175491,969.4576347321216,5028.182333566284,1936.0856091629503,3219.1391841614563,2557.4226208027785,2111.4663868861494,4015.7457654657037,2028.8674314564091,2309.600547006408,1649.7917712533576,142.6318903815877,1637.0026418614866,1905.1095225685035,965.0760724751779,2520.094668532015,957.9673850412055,2007.396993401418,3335.0806118843475,1539.3339906490155,1639.7385174252076,1408.958280896818,1010.8337841323213,1568.113735224566,595.9840489148229,2343.8674763287117,1055.4954026136625,753.3069236226377,1257.4688284886804,2065.645117797484,1028.5107911446987,3448.8427203288657,1024.4435916905063,958.4818152405203,1333.6292685918374
