Inference strategy:
var dist = Infer({method:'SMC', particles: 10000, rejuvSteps: 50, model: mymodel})
log Z = -434.7579447570003
DNA yield shape (k): 1.598101365835828 +/- 0.135341544663945
DNA yield scale (theta): 1.1224758150066787 +/- 1.2298882869494476
PCR factor log mean (mu): 6.567265512563801 +/- 0.75364708060617
PCR factor log stand dev (sigma): 1.3074259828308055 +/- 0.08333745508024139
"score", "k", "theta", "mu", "sigma", "c1", "c2", "c3", "c4", "c5", "c6", "c7", "c8", "c9", "c10", "c11", "c12", "c13", "c14", "c15", "c16", "c17", "c18", "c19", "c20", "c21", "c22", "c23", "c24", "c25", "c26", "c27", "c28", "c29", "c30", "c31", "c32", "c33", "c34", "c35", "c36", "c37", "c38", "c39", "c40", "c41", "c42", "c43", "c44", "c45", "c46", "c47", "c48", "c49", "c50", "c51", "c52", "c53", "c54", "c55", "c56"
-11.512925464970229,1.5293490881364447,0.5873774969813603,7.00681974980406,1.2557619968513125,681.7929411670316,1894.2537913811439,1104.916577857591,1406.6393626492584,1652.744813538552,1459.1022676708922,1146.6894767494368,872.1133628501078,924.8816460544367,704.6587991913905,2142.231561241982,2294.0074796893773,657.8557834958933,559.8857410505627,614.0440735899343,1648.8567466600853,435.0391913528492,890.5993060440236,828.6317728564408,949.3602207153734,1431.1534553316774,701.1390644831545,1021.9094312414113,1264.0189048328791,1669.4123044932528,1268.6987055391132,1201.464441757213,3189.2031891876527,1733.980280784716,1405.5357470567706,1437.180329470987,1090.4156079434592,41.23217838012779,591.5863343693056,361.83985336071174,975.3934872819361,1684.835477441134,1025.2499855425358,546.6439965650953,634.7536404125266,1404.4004840523976,1402.8353873772749,1758.4590730374775,482.6691246107346,906.7328120236235,733.5414176000309,951.1709561661946,1891.3419899365713,2457.38366291087,1727.828949969955,1442.9159595269148,1351.1268569110316,1445.9939175024424,935.7863737408554,787.1971346723778,1719.444855387632
-10.724468104605958,1.598214206263637,0.5874429105645793,6.627084268034626,1.4945618099977667,590.963316287503,843.9737286997765,2666.920775006428,610.9544429844726,2122.5887088009586,996.4762628071175,880.4711330372662,1591.3619355154196,1172.2484719313743,951.5306504262298,1392.6447224078834,2558.1079026463294,793.3774088092207,612.4633028080725,1271.2042174716278,830.0257166639664,537.8110399503394,789.9758851889218,753.1039686956531,1110.9584397608294,253.6260241430507,753.1530811238493,1002.0683410180851,952.2598551340081,2682.4424376833604,1085.620960546339,649.9628077717806,1320.2714220151247,2360.812372574653,1375.7357555777962,1002.4089587134054,713.220501814454,90.55107794227459,438.11470335532726,552.9185607770905,917.1842838252197,856.9061772794553,561.3414602943091,633.1486024252837,1145.7634488199571,1917.995829919467,822.7238767535829,934.0704833734804,1184.822822984574,949.3948504739179,1070.5333592802324,622.1036870277628,1108.7399363939917,1338.7255232509144,1572.6861760520483,1842.200361221367,819.0187342021118,950.6455411914136,1018.5735068216834,491.13252464476847,853.1077026538192
-11.176453228349015,1.9409344518947984,0.6077438570340691,6.624931946038397,1.2557619968513125,356.5933640681964,983.2488545805049,976.0361468652192,505.00579895478944,841.2647867787019,764.3868252855647,755.1560238680258,1216.832558783265,492.3266944079862,367.37385851033196,1748.4634717830884,1194.5272339871858,2430.404377571649,868.4121823808473,924.1385613934825,1064.335040376972,731.8385176470432,371.5393558322311,1078.5211102759422,633.7019600162946,324.6423392003288,374.0347780671312,503.1757841297836,988.4108745168595,1042.0656900114361,2348.6991613143323,1327.1679879928633,1632.6424396266862,2094.376142437939,1166.3105674689425,1007.7089064716305,977.4167513417516,55.341361849934074,457.6510696712261,488.2766787556728,1142.9192536187343,511.7012456151228,576.1395516029779,1116.5398355238476,319.1605307728736,931.2384819087638,415.2359988191504,1534.8617475518188,226.63574922447134,1421.4196541827953,241.24711959327377,585.8984033813952,1313.9423057731813,833.6246345516441,1298.7848875033944,730.0020237700719,731.9889272285143,467.5005053041413,1179.0678074735106,613.1568714969435,915.007701832898
-11.736069016284437,1.5058443238163015,0.59758804630122,6.866939299524611,1.2557619968513125,650.3993328312018,1575.1091706227269,1351.6127029486174,533.0031236990103,1300.0094415145484,1900.3097084925203,1101.5137549064345,856.7521686918539,867.3440315677167,927.8129378287208,2200.2367212016243,2417.7842113074676,622.0729926241754,2396.7998410668365,877.5917258966167,886.0969051693748,545.4642631850758,608.6586188191459,652.6827813016993,791.9525879322019,657.4268694275587,750.3683396887843,447.6459867519486,1586.3209324653412,1029.6318153398836,1051.8773182852854,940.5953021271754,2146.974038833266,1895.6115718616215,1532.8644175695226,1838.942907954925,2441.233090799741,235.57967619398818,465.64383468314344,556.1287761295795,668.7909556887191,1109.8589526300354,731.8334804721248,715.5831817171917,567.0373061863136,1417.127852804395,1529.3743411008452,4018.3058703366096,303.00433124437046,973.5137157094927,1161.0788300671418,1612.3331423586321,1509.4591909357255,2294.8559769002954,530.4289835427862,882.7961537239698,656.8417412354765,1212.679732181077,646.7320124651968,844.4041622081002,905.6123279877633
-12.429216196844383,1.5274746055058674,0.5546728477821338,7.205140254733013,1.2557619968513125,1026.9389294332889,924.8601497706322,1119.4725930196291,1095.1107545047914,3614.384603166254,1659.3757799951554,1323.39535286807,1193.5394312963074,1249.4160208221253,673.7589699899971,1901.1340125093311,1025.8393512603254,913.7883149451532,768.429183425061,1564.22219582643,985.1526731306254,798.038838238665,431.67097368669295,946.7379677779056,811.9483417661486,1070.062848641602,711.4163370358467,744.5287834522638,1013.4298329343036,1511.4818041437356,1542.746098761384,532.4231290718619,1700.7941453770204,1607.0464659048544,2071.9434771617794,2812.776974971993,1610.9374580245906,53.37058636755069,1694.9573729092822,704.9764531824487,1439.6285496797454,1391.9647029508374,866.8401665180954,745.5897115096691,430.36249731037674,1774.0777516942385,1290.6243588217505,838.7329197019328,772.4694210043742,1397.4729479089722,523.9877258908716,1292.4943253972313,726.7049431414805,2346.02863951171,756.1166487879917,1133.9041800028238,464.5847910857151,1518.0505716608864,1590.3906498296292,1506.5520761245593,2667.542126523279
-12.02375108873622,1.4008088139377366,0.6917022083783134,6.757321832653078,1.3649125950952121,1196.6657097124341,1262.0879719131221,1611.7308649293327,963.2798132254568,2119.7443569209804,1502.148323780094,1110.3623460645154,2271.4170559941117,973.7938872111355,429.27399508283503,2056.085775761557,1302.459071083539,443.3997275424016,1940.7477084395925,1092.7782218914447,2146.7138378465784,810.936116060092,580.6615602892746,865.1542834812574,700.6465372759751,757.2252748443497,1657.232195165516,523.7373709337489,1308.6540772510461,1813.0127958813405,1239.8781335216177,478.29068195266944,1886.3786596767072,1316.7622865211968,1393.645181663352,1748.7336757403946,1527.54709496703,60.491889168349736,845.2785927926603,1075.0244857473224,609.7850857465381,1379.3981754965164,470.8691624845025,798.1501090844564,525.2452819437602,1328.7011860512819,572.3223778968063,1557.74665600695,1186.255730061067,621.1846321026966,442.7602636034434,377.4626841184902,475.2265611190178,676.0983115231104,874.3852730412908,1023.4592180825857,520.8145618649434,1010.4004193460954,628.1129152701503,603.2644833198176,2651.888087408374
-10.724468104605958,1.583114356517747,1.633659062832948,5.826985156616892,1.2228395164716852,205.22004990876425,357.1694763631469,535.1101404238058,409.5241596329695,1326.1007562791347,264.77549692086416,685.2606155859801,256.28549998277913,442.5851163568955,217.79199801057302,426.2133690542016,604.3864854698115,159.28572729422763,437.73033572332355,299.746792980703,413.0837099749252,628.0367358768651,116.87950653475933,374.01738571035753,473.9504523998343,157.21644317427928,173.09955774074575,244.76681259675706,592.8228951552635,309.82669151377945,342.84453848867093,381.7888686079241,638.1994220006475,1407.8318772117168,386.78943757445217,906.600277315978,466.7317509654695,84.63651224356059,258.70877695681173,384.6059654428072,299.10939918826205,404.9411145878686,362.2419548551553,200.7045219030386,157.74031216391074,528.0387798175807,296.90774917541364,526.9560951542319,238.8607196354052,681.8922093488999,209.43049812337182,421.454110810564,541.9458382549215,232.95994016543136,182.44244479677647,530.9581514850806,266.33740844699406,407.4844256683482,317.9873188881146,455.69909864081734,765.219414679536
-13.122363377404328,1.6863614452946198,0.5275477383058673,7.133777083196737,1.2557619968513125,1399.9831143952856,971.1664408291896,1362.025979111562,617.8579477312227,1066.8140882329114,1894.3051259046758,2297.6804562513385,1342.260619565499,1386.7495464191024,1397.5438349365838,2095.2903174736825,1475.0044336033254,579.6867005095285,1073.830296313383,926.0964497716888,1277.7368135394581,1478.9821121342457,609.7354145545526,869.5608027229463,1518.230694025261,508.11681051995174,748.4689822802694,475.9274080527246,979.0638233375917,502.9895549990145,2061.4693003680513,587.958160202205,1689.2962655421227,2660.628437740703,1382.4952078835204,830.8710115891142,1041.9445926892686,65.05890389236555,1018.822218975573,1028.7957939253479,726.6854447426092,895.7076479062184,1490.005911175994,830.2370327012106,1086.4475008246582,1290.4689370317242,644.8510217187979,2069.937209091083,750.6745730327402,1047.4686463809458,355.9121533920119,817.7452261023019,2038.7939930798989,1418.7607758842523,1072.645189441506,1191.351849188525,849.6349704782501,1135.0761378196069,953.4391362815917,2809.9639722185957,1212.353421056027
-11.736069016284437,1.3539553901738308,0.7389692630323028,6.5578079184444205,1.2557619968513125,1277.0101140076724,782.6533149410825,1162.5387645988683,1017.8502650995856,895.5862910055989,504.4166634593717,1512.087228431374,939.3489087929136,1561.5248241614654,552.1890093646931,1084.3567846156516,1426.3215176768047,1091.4400222861152,1758.0352257205386,740.5029531994765,1600.7644011322882,583.3534248672229,737.8543487265529,379.47096740908154,2084.534419805049,518.4310814904711,1098.2220501512327,835.4681896026397,1027.6857831361826,1073.4353912205886,4648.512064208439,567.18438775665,1820.1615174747574,1322.1788912277239,3631.759139672208,1729.185086801408,1031.9114774007871,59.33971522938062,1099.8637851115325,752.3376376982284,698.392531425145,738.8565250284912,695.816282548519,728.1001823529875,834.8503975955063,1613.8928100948249,1034.7545051510801,966.4403323114177,452.76000876565786,601.3473039344256,599.851889189105,640.0134552379538,1640.8196725874975,1443.7238129759357,580.3588135183867,828.3707036585881,1161.251332108372,1014.2971875578838,1013.3930726637637,1075.9850083192173,1596.3508000355032
-11.512925464970229,1.6912504809803763,0.6130219668498418,6.669655846269262,1.2557619968513125,833.9578909655222,583.4447978800644,1389.0151528424544,699.4881681832032,2324.7503042595918,1122.7450973493626,950.1407426070174,1314.24193042814,648.9022259174111,1128.6353787997675,2060.137078304749,1525.2868957963162,602.3390596396996,660.1154935082197,741.3286306298578,1113.9918619092107,299.83577546282004,763.1516576829024,740.4757607121713,881.8333820499722,523.1641517874447,528.6373677315942,2789.653572120983,668.6085325181565,963.5548133816114,1483.5906595191238,684.1832900103443,1402.3775997042737,1290.924158809092,1731.1143861268245,1450.417211358626,1112.464087263287,137.73091499776808,341.7804694438997,643.0158305161845,393.46397125588385,1614.2216980814785,615.3213713701643,676.0461395767682,1251.655773579756,2428.215376032076,437.0718449581481,1157.5804058796991,341.91632176534137,2218.162950087024,726.1061233180919,437.2137083800375,645.9101920980116,1539.0981094368053,1012.1076389112231,560.3459528982576,548.2693864113518,809.2822888533736,1036.5582781660385,656.2851380809241,996.015140126361
